AOU,English_Common_Name,Order,Genus,Species_y,yrs with observations,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,ruta,Latitude,Longitude
3160,Mourning Dove,Columbiformes,Zenaida,macroura,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,22,49,28,21,27,25,27,33,28,39,41,23,40,34,42,33,44,32,52,40,39,36,0,22,33,56,0,8407235,41.2289,-76.4559998
3131,Rock Pigeon,Columbiformes,Columba,livia,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44,4,9,1,4,9,14,5,20,4,2,8,2,7,7,26,6,16,22,16,5,14,15,0,8,2,7,0,8407235,41.2289,-76.4559998
2730,Killdeer,Charadriiformes,Charadrius,vociferus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,2,8,3,1,5,7,4,1,3,5,4,5,4,5,4,3,5,5,2,1,2,0,2,2,1,0,8407235,41.2289,-76.4559998
4950,Brown-headed Cowbird,Passeriformes,Molothrus,ater,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,8,10,14,9,13,9,15,10,23,10,10,8,15,12,16,19,8,17,12,8,6,0,8,10,9,0,8407235,41.2289,-76.4559998
4980,Red-winged Blackbird,Passeriformes,Agelaius,phoeniceus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,59,43,47,76,41,57,60,59,54,60,53,53,50,56,69,62,78,67,64,55,67,74,84,0,70,75,72,0,8407235,41.2289,-76.4559998
5070,Baltimore Oriole,Passeriformes,Icterus,galbula,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,11,20,13,18,15,22,11,17,17,21,19,13,26,30,21,24,11,13,23,11,17,14,0,17,23,24,0,8407235,41.2289,-76.4559998
5010,Eastern Meadowlark,Passeriformes,Sturnella,magna,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,7,5,3,9,8,12,12,7,11,11,11,12,8,4,8,9,4,6,3,10,2,0,4,8,3,0,8407235,41.2289,-76.4559998
5290,American Goldfinch,Passeriformes,Spinus,tristis,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,21,15,26,13,16,14,16,23,27,15,11,17,14,11,8,1,20,11,11,23,9,0,9,3,15,0,8407235,41.2289,-76.4559998
5190,House Finch,Passeriformes,Haemorhous,mexicanus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,17,14,9,8,8,21,16,4,7,9,5,6,6,1,3,3,4,7,5,3,3,0,3,9,12,0,8407235,41.2289,-76.4559998
5110,Common Grackle,Passeriformes,Quiscalus,quiscula,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,8,21,21,13,15,18,9,15,22,27,13,19,18,22,41,30,19,25,24,32,33,32,0,19,14,14,0,8407235,41.2289,-76.4559998
4930,European Starling,Passeriformes,Sturnus,vulgaris,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,33,21,30,34,38,34,27,27,32,28,36,26,25,27,32,28,45,34,49,44,40,40,0,27,25,32,0,8407235,41.2289,-76.4559998
4520,Great Crested Flycatcher,Passeriformes,Myiarchus,crinitus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,2,1,2,11,5,5,5,1,3,6,3,5,4,5,13,5,7,6,5,9,4,0,11,8,4,0,8407235,41.2289,-76.4559998
