,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
231,3089,26,1997,2023,26,Gunnison Sage-Grouse,Tétras du Gunnison,Galliformes,Phasianidae,Centrocercus,minimus
437,4882,25,1998,2021,23,,,,,,
374,4390,25,1997,2023,26,Buff-bellied Hummingbird,Ariane du Yucatan,Apodiformes,Trochilidae,Amazilia,yucatanensis
272,3450,25,2003,2023,20,Common Black Hawk,Buse noire,Accipitriformes,Accipitridae,Buteogallus,anthracinus
696,7370,25,1997,2023,26,Mexican Chickadee,Mésange grise,Passeriformes,Paridae,Poecile,sclateri
170,2330,25,2004,2022,18,Stilt Sandpiper,Bécasseau à échasses,Charadriiformes,Scolopacidae,Calidris,himantopus
257,3300,23,1997,2022,25,Snail Kite,Milan des marais,Accipitriformes,Accipitridae,Rostrhamus,sociabilis
452,5009,23,2023,2023,0,Chihuahuan Meadowlark,Sturnelle de Lilian,Passeriformes,Icteridae,Sturnella,lilianae
479,5212,23,1997,2023,26,unid. Cassia Crossbill / Red Crossbill,Unid Bec-croisé de l'Idaho / des sapins,Passeriformes,Fringillidae,Loxia,sinesciuris / curvirostra
354,4205,22,1997,2023,26,unid. Lesser Nighthawk / Common Nighthawk,unid Engoulevent minime / Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis / minor
384,4460,22,1999,2023,24,Tropical Kingbird,Tyran mélancolique,Passeriformes,Tyrannidae,Tyrannus,melancholicus
361,4260,21,1997,2023,26,Rivoli's Hummingbird,Colibri de Rivoli,Apodiformes,Trochilidae,Eugenes,fulgens
345,4125,20,2004,2023,19,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer
118,1740,20,1997,2023,26,(Black Brant) Brant,Bernache cravant (groupe nigricans),Anseriformes,Anatidae,Branta,bernicla nigricans
208,2830,20,1997,2010,13,Ruddy Turnstone,Tournepierre à collier,Charadriiformes,Scolopacidae,Arenaria,interpres
209,2840,20,1997,2018,21,Black Turnstone,Tournepierre noir,Charadriiformes,Scolopacidae,Arenaria,melanocephala
370,4335,19,2010,2022,12,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Apodiformes,Trochilidae,Selasphorus,rufus / sasin
80,1326,19,2005,2022,17,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes / diazi / fulvigula
172,2356,19,1997,2023,26,Rock Sandpiper,Bécasseau des Aléoutiennes,Charadriiformes,Scolopacidae,Calidris,ptilocnemis
65,1190,19,1997,2021,24,Great Cormorant,Grand Cormoran,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo
197,2680,18,1997,2014,17,Bristle-thighed Curlew,Courlis d'Alaska,Charadriiformes,Scolopacidae,Numenius,tahitiensis
42,570,17,1998,2019,21,Heermann's Gull,Goéland de Heermann,Charadriiformes,Laridae,Larus,heermanni
10,80,15,2005,2023,18,Yellow-billed Loon,Plongeon à bec blanc,Gaviiformes,Gaviidae,Gavia,adamsii
67,1205,15,2000,2023,23,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,brasilianum / auritum
482,5240,14,1997,2019,22,Gray-crowned Rosy-Finch,Roselin à tête grise,Passeriformes,Fringillidae,Leucosticte,tephrocotis
298,3740,13,1999,2019,20,Flammulated Owl,Petit-duc nain,Strigiformes,Strigidae,Psiloscops,flammeolus
484,5260,13,1997,2021,24,Brown-capped Rosy-Finch,Roselin à tête brune,Passeriformes,Fringillidae,Leucosticte,australis
271,3440,12,2003,2021,18,Short-tailed Hawk,Buse à queue courte,Accipitriformes,Accipitridae,Buteo,brachyurus
709,7530,12,2003,2022,19,California Gnatcatcher,Gobemoucheron de Californie,Passeriformes,Polioptilidae,Polioptila,californica
198,2700,12,1998,2018,20,Black-bellied Plover,Pluvier argenté,Charadriiformes,Charadriidae,Pluvialis,squatarola
227,3040,12,1997,2022,25,White-tailed Ptarmigan,Lagopède à queue blanche,Galliformes,Phasianidae,Lagopus,leucura
111,1657,11,2001,2023,22,unid. scoter,unid macreuse sp.,Anseriformes,Anatidae,Melanitta,sp.
715,7571,11,1997,2011,14,Bicknell's Thrush,Grive de Bicknell,Passeriformes,Turdidae,Catharus,bicknelli
443,4932,11,2002,2022,20,Common Myna,Martin triste,Passeriformes,Sturnidae,Acridotheres,tristis
114,1690,11,2001,2023,22,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anser,caerulescens
26,360,11,2007,2023,16,Pomarine Jaeger,Labbe pomarin,Charadriiformes,Stercorariidae,Stercorarius,pomarinus
446,4955,10,1997,2023,26,unid. Bronzed Cowbird / Brown-headed Cowbird,unid Vacher bronzé / à tête brune,Passeriformes,Icteridae,Molothrus,aeneus / ater
41,551,10,1997,2019,22,Black-headed Gull,Mouette rieuse,Charadriiformes,Laridae,Chroicocephalus,ridibundus
598,6412,9,1998,2014,16,Brewster's Warbler (Golden-winged x Blue-winged),Paruline de Brewster,Passeriformes,Parulidae,Vermivora,cyanoptera x chrysoptera
493,5340,9,1997,2023,26,Snow Bunting,Plectrophane des neiges,Passeriformes,Calcariidae,Plectrophenax,nivalis
249,3240,9,1998,2011,13,California Condor,Condor de Californie,Cathartiformes,Cathartidae,Gymnogyps,californianus
35,495,9,1999,2018,19,hybrid Western Gull x Glaucous-winged Gull,hybride Goéland à ailes grises x d'Audubon,Charadriiformes,Laridae,Larus,occidentalis x glaucescens
607,6490,9,1997,2019,22,Tropical Parula,Paruline à joues noires,Passeriformes,Parulidae,Setophaga,pitiayumi
448,4961,9,1999,2018,19,Shiny Cowbird,Vacher luisant,Passeriformes,Icteridae,Molothrus,bonariensis
234,3095,9,2014,2023,9,Indian Peafowl,Paon bleu,Galliformes,Phasianidae,Pavo,cristatus
688,7332,8,1997,2012,15,unid. Oak Titmouse / Juniper Titmouse,unid unid Mésange unicolore / Mésange des genévrie,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi
24,315,8,2007,2015,8,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Charadriiformes,Laridae,Uria,aalge / lomvia
33,480,8,2005,2018,13,Slaty-backed Gull,Goéland à manteau ardoisé,Charadriiformes,Laridae,Larus,schistisagus
375,4391,8,2004,2013,9,Violet-crowned Hummingbird,Ariane à couronne violette,Apodiformes,Trochilidae,Ramosomyia,violiceps
46,620,8,2006,2023,17,Sabine's Gull,Mouette de Sabine,Charadriiformes,Laridae,Xema,sabini
573,6185,8,2004,2023,19,unid. Cedar Waxwing / Bohemian Waxwing,unid Jaseur sp.,Passeriformes,Bombycillidae,Bombycilla,garrulus / cedrorum
173,2390,8,2003,2023,20,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Charadriiformes,Scolopacidae,Calidris,melanotos
386,4462,7,2000,2023,23,unid. Tropical Kingbird / Couch's Kingbird,unid Tyran mélancolique / Tyran de Couch,Passeriformes,Tyrannidae,Tyrannus,melancholicus / couchii
241,3151,7,2004,2017,13,Spotted Dove,Tourterelle tigrine,Columbiformes,Columbidae,Streptopelia,chinensis
146,2040,7,2006,2021,15,Whooping Crane,Grue blanche,Gruiformes,Gruidae,Grus,americana
168,2320,7,2004,2023,19,Long-billed Dowitcher,Bécassin à long bec,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus
