,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,prct_years
135,168,168,268,268,3410,224,1997,2023,26,White-tailed Hawk,Buse à queue blanche,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,1.0
136,169,169,273,273,3451,319,1997,2023,26,unid. Buteo hawk,unid Buse sp.,Accipitriformes,Accipitridae,Buteo,sp.,1.0
137,170,170,262,262,3340,576,1996,2023,27,American Goshawk,Autour d’Amérique,Accipitriformes,Accipitridae,Accipiter,atricapillus,1.0
138,171,171,263,263,3350,461,1996,2023,27,Harris's Hawk,Buse de Harris,Accipitriformes,Accipitridae,Parabuteo,unicinctus,1.0
139,172,172,267,267,3400,97,1997,2023,26,Zone-tailed Hawk,Buse à queue barrée,Accipitriformes,Accipitridae,Buteo,albonotatus,1.0
140,173,173,543,543,5910,1672,1997,2023,26,Canyon Towhee,Tohi des canyons,Passeriformes,Passerellidae,Melozone,fusca,1.0
141,174,174,661,661,7060,372,1996,2023,27,Long-billed Thrasher,Moqueur à long bec,Passeriformes,Mimidae,Toxostoma,longirostre,1.0
142,191,191,428,428,4813,2347,1995,2023,28,Woodhouse's Scrub-Jay,Geai de Woodhouse,Passeriformes,Corvidae,Aphelocoma,woodhouseii,1.0
143,192,192,447,447,4960,841,1996,2023,27,Bronzed Cowbird,Vacher bronzé,Passeriformes,Icteridae,Molothrus,aeneus,1.0
144,193,193,451,451,5000,298,1997,2023,26,Tricolored Blackbird,Carouge de Californie,Passeriformes,Icteridae,Agelaius,tricolor,1.0
145,194,194,436,436,4881,1344,1996,2023,27,unid. American Crow / Fish Crow,unid Corneille d'Amérique / Corneille de rivage,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus,1.0
146,195,195,429,429,4820,181,1997,2023,26,Mexican Jay,Geai du Mexique,Passeriformes,Corvidae,Aphelocoma,wollweberi,1.0
147,196,196,376,376,4402,1065,1996,2023,27,unid. hummingbird,unid Colibri sp.,Apodiformes,Trochilidae,Trochilid,sp.,1.0
84,133,133,287,287,3650,267,1997,2023,26,Barn Owl,Effraie des clochers,Strigiformes,Tytonidae,Tyto,alba,1.0
85,134,134,289,289,3670,968,1996,2023,27,Short-eared Owl,Hibou des marais,Strigiformes,Strigidae,Asio,flammeus,1.0
86,135,135,290,290,3680,5607,1996,2023,27,Barred Owl,Chouette rayée,Strigiformes,Strigidae,Strix,varia,1.0
87,136,136,302,302,3780,2576,1996,2023,27,Burrowing Owl,Chevêche des terriers,Strigiformes,Strigidae,Athene,cunicularia,1.0
88,137,137,303,303,3790,492,1996,2023,27,Northern Pygmy-Owl,Chevêchette naine,Strigiformes,Strigidae,Glaucidium,gnoma,1.0
89,138,138,525,525,5730,4635,1995,2023,28,Black-throated Sparrow,Bruant à gorge noire,Passeriformes,Passerellidae,Amphispiza,bilineata,1.0
90,139,139,527,527,5739,305,1996,2023,27,Bell's Sparrow,Bruant de Bell,Passeriformes,Passerellidae,Artemisiospiza,belli,1.0
91,140,140,528,528,5740,136,1996,2023,27,unid. Sagebrush Sparrow / Bell's Sparrow,unid Bruant des armoises / Burant de Bell,Passeriformes,Passerellidae,Artemisiospiza,nevadensis / belli,1.0
92,141,141,244,244,3180,195,1996,2023,27,White-tipped Dove,Colombe de Verreaux,Columbiformes,Columbidae,Leptotila,verreauxi,1.0
93,142,142,545,545,5920,350,1997,2023,26,Abert's Towhee,Tohi d'Abert,Passeriformes,Passerellidae,Melozone,aberti,1.0
94,143,143,547,547,5935,76,1997,2023,26,unid. Northern Cardinal / Pyrrhuloxia,unid Cardinal rouge / Cardinal pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis,cardinalis / sinuatus,1.0
158,207,207,64,64,1180,1489,1997,2023,26,Anhinga,Anhinga d'Amérique,Suliformes,Anhingidae,Anhinga,anhinga,1.0
157,206,206,55,55,710,574,1997,2023,26,Arctic Tern,Sterne arctique,Charadriiformes,Laridae,Sterna,paradisaea,1.0
156,205,205,63,63,1170,131,1997,2023,26,Northern Gannet,Fou de Bassan,Suliformes,Sulidae,Morus,bassanus,1.0
155,204,204,103,103,1540,170,1997,2023,26,Long-tailed Duck,Harelde kakawi,Anseriformes,Anatidae,Clangula,hyemalis,1.0
154,203,203,459,459,5040,1946,1996,2023,27,Scott's Oriole,Oriole jaune-verdâtre,Passeriformes,Icteridae,Icterus,parisorum,1.0
153,202,202,101,101,1520,527,1995,2023,28,Barrow's Goldeneye,Garrot d'Islande,Anseriformes,Anatidae,Bucephala,islandica,1.0
152,201,201,115,115,1710,187,1997,2023,26,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anser,albifrons,1.0
151,200,200,456,456,5030,167,1996,2023,27,Audubon's Oriole,Oriole d'Audubon,Passeriformes,Icteridae,Icterus,graduacauda,1.0
150,199,199,455,455,5012,361,1997,2023,26,unid. Meadowlark,unid Sturnelle,Passeriformes,Icteridae,Sturnella,sp.,1.0
149,198,198,466,466,5090,785,1995,2023,28,Rusty Blackbird,Quiscale rouilleux,Passeriformes,Icteridae,Euphagus,carolinus,1.0
148,197,197,460,460,5050,821,1996,2023,27,Hooded Oriole,Oriole masqué,Passeriformes,Icteridae,Icterus,cucullatus,1.0
159,208,208,82,82,1331,113,1997,2023,26,Mexican Duck,Canard du Mexique,Anseriformes,Anatidae,Anas,diazi,1.0
163,180,180,405,405,4642,229,1996,2023,27,(unid. Cordilleran / Pac-slope) Western Flycatcher,Moucherolle obscur (groupe non identifié),Passeriformes,Tyrannidae,Empidonax,difficilis,1.0
160,209,209,70,70,1210,347,1997,2023,26,Neotropic Cormorant,Cormoran vigua,Suliformes,Phalacrocoracidae,Nannopterum,brasilianum,1.0
161,210,210,71,71,1220,63,1997,2019,22,Brandt's Cormorant,Cormoran de Brandt,Suliformes,Phalacrocoracidae,Urile,penicillatus,1.0
162,211,211,74,74,1260,516,1997,2023,26,Brown Pelican,Pélican brun,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,1.0
175,221,221,126,126,1840,2740,1995,2023,28,White Ibis,Ibis blanc,Pelecaniformes,Threskiornithidae,Eudocimus,albus,1.0
176,220,220,130,130,1880,820,1996,2023,27,Wood Stork,Tantale d'Amérique,Ciconiiformes,Ciconiidae,Mycteria,americana,1.0
177,219,219,34,34,490,208,1997,2023,26,Western Gull,Goéland d'Audubon,Charadriiformes,Laridae,Larus,occidentalis,1.0
178,218,218,30,30,420,170,1997,2023,26,Glaucous Gull,Goéland bourgmestre,Charadriiformes,Laridae,Larus,hyperboreus,1.0
179,217,217,29,29,400,137,1997,2023,26,Black-legged Kittiwake,Mouette tridactyle,Charadriiformes,Laridae,Rissa,tridactyla,1.0
164,181,181,418,418,4720,84,1997,2023,26,Northern Beardless-Tyrannulet,Tyranneau imberbe,Passeriformes,Tyrannidae,Camptostoma,imberbe,1.0
165,182,182,417,417,4710,875,1997,2023,26,Vermilion Flycatcher,Moucherolle vermillon,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,1.0
166,183,183,704,704,7470,324,1997,2023,26,Arctic Warbler,Pouillot boréal,Passeriformes,Phylloscopidae,Phylloscopus,borealis,1.0
167,184,184,708,708,7520,1044,1996,2023,27,Black-tailed Gnatcatcher,Gobemoucheron à queue noire,Passeriformes,Polioptilidae,Polioptila,melanura,1.0
168,185,185,662,662,7070,2023,1996,2023,27,Curve-billed Thrasher,Moqueur à bec courbe,Passeriformes,Mimidae,Toxostoma,curvirostre,1.0
169,186,186,422,422,4760,514,1996,2023,27,Yellow-billed Magpie,Pie à bec jaune,Passeriformes,Corvidae,Pica,nuttalli,1.0
170,187,187,434,434,4870,1585,1996,2023,27,Chihuahuan Raven,Corbeau à cou blanc,Passeriformes,Corvidae,Corvus,cryptoleucus,1.0
171,188,188,441,441,4920,2237,1995,2023,28,Pinyon Jay,Geai des pinèdes,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,1.0
172,189,189,440,440,4910,3199,1995,2023,28,Clark's Nutcracker,Cassenoix d'Amérique,Passeriformes,Corvidae,Nucifraga,columbiana,1.0
173,190,190,430,430,4830,269,1997,2023,26,Green Jay,Geai vert,Passeriformes,Corvidae,Cyanocorax,yncas,1.0
174,222,222,124,124,1810,866,1997,2023,26,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Cygnus,buccinator,1.0
191,17,17,389,389,4490,306,1996,2023,27,Great Kiskadee,Tyran quiquivi,Passeriformes,Tyrannidae,Pitangus,sulphuratus,1.0
192,18,18,360,360,4250,1910,1995,2023,28,White-throated Swift,Martinet à gorge blanche,Apodiformes,Apodidae,Aeronautes,saxatalis,1.0
193,19,19,351,351,4180,1108,1996,2023,27,Common Poorwill,Engoulevent de Nuttall,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,1.0
194,20,20,352,352,4190,136,1997,2023,26,Common Pauraque,Engoulevent pauraqué,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,1.0
195,21,21,341,341,4100,1274,1996,2023,27,Golden-fronted Woodpecker,Pic à front doré,Piciformes,Picidae,Melanerpes,aurifrons,1.0
196,22,22,342,342,4110,556,1997,2023,26,Gila Woodpecker,Pic des saguaros,Piciformes,Picidae,Melanerpes,uropygialis,1.0
197,23,23,344,344,4123,1182,1997,2023,26,(unid. Red / Yellow Shafted) Northern Flicker,Pic flamboyant (groupe non identifié),Piciformes,Picidae,Colaptes,auratus,1.0
198,24,24,475,475,5180,3965,1995,2023,28,Cassin's Finch,Roselin de Cassin,Passeriformes,Fringillidae,Haemorhous,cassinii,1.0
199,25,25,364,364,4290,2319,1996,2023,27,Black-chinned Hummingbird,Colibri à gorge noire,Apodiformes,Trochilidae,Archilochus,alexandri,1.0
200,26,26,366,366,4300,372,1997,2023,26,Costa's Hummingbird,Colibri de Costa,Apodiformes,Trochilidae,Calypte,costae,1.0
201,27,27,382,382,4450,110,1997,2023,26,Gray Kingbird,Tyran gris,Passeriformes,Tyrannidae,Tyrannus,dominicensis,1.0
202,28,28,385,385,4461,451,1996,2023,27,Couch's Kingbird,Tyran de Couch,Passeriformes,Tyrannidae,Tyrannus,couchii,1.0
203,29,29,356,356,4210,1445,1996,2023,27,Lesser Nighthawk,Engoulevent minime,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,1.0
204,30,30,368,368,4320,3065,1997,2023,26,Broad-tailed Hummingbird,Colibri à queue large,Apodiformes,Trochilidae,Selasphorus,platycercus,1.0
205,31,31,597,597,6410,3471,1995,2023,28,Blue-winged Warbler,Paruline à ailes bleues,Passeriformes,Parulidae,Vermivora,cyanoptera,1.0
206,32,32,611,611,6540,5285,1994,2023,29,Black-throated Blue Warbler,Paruline bleue,Passeriformes,Parulidae,Setophaga,caerulescens,1.0
207,33,33,600,600,6420,1235,1997,2023,26,Golden-winged Warbler,Paruline à ailes dorées,Passeriformes,Parulidae,Vermivora,chrysoptera,1.0
208,34,34,601,601,6430,790,1996,2023,27,Lucy's Warbler,Paruline de Lucy,Passeriformes,Parulidae,Leiothlypis,luciae,1.0
209,35,35,689,689,7340,189,1997,2023,26,Bridled Titmouse,Mésange arlequin,Passeriformes,Paridae,Baeolophus,wollweberi,1.0
210,36,36,691,691,7351,146,1997,2023,26,unid. western chickadee species,unid Mésange sp. de l'Ouest,Passeriformes,Paridae,Poecile,sp.,1.0
211,37,37,678,678,7260,6532,1995,2023,28,Brown Creeper,Grimpereau brun,Passeriformes,Certhiidae,Certhia,americana,1.0
180,216,216,433,433,4865,343,1997,2023,26,unid. Chihuahuan Raven / Common Raven,unid Grand Corbeau / Corbeau à cou blanc,Passeriformes,Corvidae,Corvus,cryptoleucus / corax,1.0
181,215,215,425,425,4790,116,1997,2023,26,Florida Scrub-Jay,Geai à gorge blanche,Passeriformes,Corvidae,Aphelocoma,coerulescens,1.0
182,214,214,77,77,1300,391,1997,2023,26,Red-breasted Merganser,Harle huppé,Anseriformes,Anatidae,Mergus,serrator,1.0
183,213,213,667,667,7130,2591,1996,2023,27,Cactus Wren,Troglodyte des cactus,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,1.0
184,212,212,666,666,7120,462,1997,2023,26,Crissal Thrasher,Moqueur cul-roux,Passeriformes,Mimidae,Toxostoma,crissale,1.0
185,223,223,81,81,1330,871,1996,2023,27,American Black Duck,Canard noir,Anseriformes,Anatidae,Anas,rubripes,1.0
186,12,12,663,663,7080,280,1997,2023,26,Bendire's Thrasher,Moqueur de Bendire,Passeriformes,Mimidae,Toxostoma,bendirei,1.0
187,13,13,665,665,7110,164,1997,2023,26,LeConte's Thrasher,Moqueur de LeConte,Passeriformes,Mimidae,Toxostoma,lecontei,1.0
188,14,14,12,12,100,291,1997,2023,26,Pacific Loon,Plongeon du Pacifique,Gaviiformes,Gaviidae,Gavia,pacifica,1.0
189,15,15,403,403,4640,2369,1996,2023,27,(Cordilleran Flycatcher) Western Flycatcher,Moucherolle obscur (groupe occidentalis),Passeriformes,Tyrannidae,Empidonax,difficilis occidentalis,1.0
190,16,16,388,388,4480,2314,1996,2023,27,Cassin's Kingbird,Tyran de Cassin,Passeriformes,Tyrannidae,Tyrannus,vociferans,1.0
222,48,48,653,653,6990,2,2006,2008,2,Red-throated Pipit,Pipit à gorge rousse,Passeriformes,Motacillidae,Anthus,cervinus,1.0
221,47,47,652,652,6970,240,1997,2023,26,American Pipit,Pipit d'Amérique,Passeriformes,Motacillidae,Anthus,rubescens,1.0
220,46,46,622,622,6640,780,1997,2023,26,Grace's Warbler,Paruline de Grace,Passeriformes,Parulidae,Setophaga,graciae,1.0
219,45,45,732,732,22860,13959,1997,2023,26,Eurasian Collared-Dove,Tourterelle turque,Columbiformes,Columbidae,Streptopelia,decaocto,1.0
218,44,44,685,685,7320,1098,1996,2023,27,Black-crested Titmouse,Mésange à plumet noir,Passeriformes,Paridae,Baeolophus,atricristatus,1.0
217,43,43,684,684,7315,74,1997,2023,26,unid. Tufted Titmouse / Black-crested Titmouse,unid Mésange bicolore / Mésange à plumet noir,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus,1.0
216,42,42,726,726,8110,7,2016,2023,7,Scaly-breasted Munia,Capucin damier,Passeriformes,Estrildidae,Lonchura,punctulata,1.0
215,41,41,18,18,230,354,1997,2023,26,Marbled Murrelet,Guillemot marbré,Charadriiformes,Alcidae,Brachyramphus,marmoratus,1.0
214,40,40,13,13,110,318,1997,2023,26,Red-throated Loon,Plongeon catmarin,Gaviiformes,Gaviidae,Gavia,stellata,1.0
