,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,prct_years
362,363,363,231,231,3089,26,1997,2023,26,Gunnison Sage-Grouse,Tétras du Gunnison,Galliformes,Phasianidae,Centrocercus,minimus,0.7692307692307693
364,364,364,80,80,1326,18,2005,2022,17,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes / diazi / fulvigula,0.7647058823529411
365,365,365,179,179,2430,35,1998,2023,25,Dunlin,Bécasseau variable,Charadriiformes,Scolopacidae,Calidris,alpina,0.76
368,366,366,90,90,1420,3672,1982,2023,41,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Spatula,clypeata,0.7560975609756098
367,367,367,183,183,2490,2523,1982,2023,41,Marbled Godwit,Barge marbrée,Charadriiformes,Scolopacidae,Limosa,fedoa,0.7560975609756098
366,368,368,44,44,590,1839,1982,2023,41,Franklin's Gull,Mouette de Franklin,Charadriiformes,Laridae,Leucophaeus,pipixcan,0.7560975609756098
369,369,369,370,370,4335,19,2010,2022,12,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Apodiformes,Trochilidae,Selasphorus,rufus / sasin,0.75
370,370,370,729,729,19510,3,2019,2023,4,Pin-tailed Whydah,Veuve dominicaine,Passeriformes,Viduidae,Vidua,macroura,0.75
371,371,371,345,345,4125,20,2004,2023,19,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer,0.7368421052631579
377,372,372,654,654,7000,1308,1982,2023,41,Sprague's Pipit,Pipit de Sprague,Passeriformes,Motacillidae,Anthus,spragueii,0.7317073170731707
373,373,373,537,537,5850,5688,1982,2023,41,Fox Sparrow,Bruant fauve,Passeriformes,Passerellidae,Passerella,iliaca,0.7317073170731707
376,378,378,258,258,3310,8097,1982,2023,41,Northern Harrier,Busard des marais,Accipitriformes,Accipitridae,Circus,hudsonius,0.7317073170731707
375,375,375,187,187,2550,1364,1982,2023,41,Lesser Yellowlegs,Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,flavipes,0.7317073170731707
378,374,374,212,212,2881,1382,1982,2023,41,Gray Partridge,Perdrix grise,Galliformes,Phasianidae,Perdix,perdix,0.7317073170731707
372,377,377,500,500,5450,1094,1982,2023,41,Baird's Sparrow,Bruant de Baird,Passeriformes,Passerellidae,Centronyx,bairdii,0.7317073170731707
374,376,376,488,488,5280,1651,1982,2023,41,Common Redpoll,Sizerin flammé,Passeriformes,Fringillidae,Acanthis,flammea,0.7317073170731707
381,380,380,721,721,7640,43,1997,2023,26,Bluethroat,Gorgebleue à miroir,Passeriformes,Muscicapidae,Cyanecula,svecica,0.7307692307692307
379,381,381,145,145,2035,34,1997,2023,26,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea,0.7307692307692307
380,379,379,52,52,670,35,1997,2023,26,Sandwich Tern,Sterne caugek,Charadriiformes,Laridae,Thalasseus,sandvicensis,0.7307692307692307
382,382,382,2,2,12,39,1997,2023,26,unid. Western Grebe / Clark's Grebe,unid Grèbe élégant / Grèbe à face blanche,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii,0.7307692307692307
383,383,383,718,718,7610,59588,1968,2023,55,American Robin,Merle d'Amérique,Passeriformes,Turdidae,Turdus,migratorius,0.7272727272727273
384,384,384,714,714,7570,1277,1983,2023,40,Gray-cheeked Thrush,Grive à joues grises,Passeriformes,Turdidae,Catharus,minimus,0.725
385,385,385,170,170,2330,17,2004,2022,18,Stilt Sandpiper,Bécasseau à échasses,Charadriiformes,Scolopacidae,Calidris,himantopus,0.7222222222222222
387,386,386,257,257,3300,23,1997,2022,25,Snail Kite,Milan des marais,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,0.72
386,387,387,508,508,5530,24,1998,2023,25,Harris's Sparrow,Bruant à face noire,Passeriformes,Passerellidae,Zonotrichia,querula,0.72
388,388,388,449,449,4970,7262,1977,2023,46,Yellow-headed Blackbird,Carouge à tête jaune,Passeriformes,Icteridae,Xanthocephalus,xanthocephalus,0.717391304347826
389,389,389,727,727,10210,49,2009,2023,14,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Cairina,moschata,0.7142857142857143
390,390,390,450,450,4980,57456,1967,2023,56,Red-winged Blackbird,Carouge à épaulettes,Passeriformes,Icteridae,Agelaius,phoeniceus,0.7142857142857143
391,391,391,86,86,1370,3260,1982,2023,41,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Mareca,americana,0.7073170731707317
392,392,392,5,5,40,1098,1982,2023,41,Eared Grebe,Grèbe à cou noir,Podicipediformes,Podicipedidae,Podiceps,nigricollis,0.7073170731707317
393,393,393,299,299,3750,7006,1983,2023,40,Great Horned Owl,Grand-duc d'Amérique,Strigiformes,Strigidae,Bubo,virginianus,0.7
394,394,394,272,272,3450,20,2003,2023,20,Common Black Hawk,Buse noire,Accipitriformes,Accipitridae,Buteogallus,anthracinus,0.7
395,395,395,445,445,4950,56305,1967,2023,56,Brown-headed Cowbird,Vacher à tête brune,Passeriformes,Icteridae,Molothrus,ater,0.6964285714285714
396,396,396,201,201,2730,43474,1967,2023,56,Killdeer,Pluvier kildir,Charadriiformes,Charadriidae,Charadrius,vociferus,0.6964285714285714
401,400,400,8,8,70,5231,1977,2023,46,Common Loon,Plongeon huard,Gaviiformes,Gaviidae,Gavia,immer,0.6956521739130435
397,401,401,91,91,1430,2986,1977,2023,46,Northern Pintail,Canard pilet,Anseriformes,Anatidae,Anas,acuta,0.6956521739130435
398,397,397,322,322,3930,21307,1977,2023,46,Hairy Woodpecker,Pic chevelu,Piciformes,Picidae,Dryobates,villosus,0.6956521739130435
399,398,398,154,154,2140,5009,1977,2023,46,Sora,Marouette de Caroline,Gruiformes,Rallidae,Porzana,carolina,0.6956521739130435
400,399,399,431,431,4840,5650,1977,2023,46,Canada Jay,Mésangeai du Canada,Passeriformes,Corvidae,Perisoreus,canadensis,0.6956521739130435
404,403,403,305,305,3810,30,1997,2023,26,Elf Owl,Chevêchette des saguaros,Strigiformes,Strigidae,Micrathene,whitneyi,0.6923076923076923
407,406,406,249,249,3240,9,1998,2011,13,California Condor,Condor de Californie,Cathartiformes,Cathartidae,Gymnogyps,californianus,0.6923076923076923
403,407,407,118,118,1740,19,1997,2023,26,(Black Brant) Brant,Bernache cravant (groupe nigricans),Anseriformes,Anatidae,Branta,bernicla nigricans,0.6923076923076923
405,405,405,374,374,4390,25,1997,2023,26,Buff-bellied Hummingbird,Ariane du Yucatan,Apodiformes,Trochilidae,Amazilia,yucatanensis,0.6923076923076923
402,404,404,293,293,3710,40,1997,2023,26,Boreal Owl,Nyctale de Tengmalm,Strigiformes,Strigidae,Aegolius,funereus,0.6923076923076923
406,402,402,208,208,2830,11,1997,2010,13,Ruddy Turnstone,Tournepierre à collier,Charadriiformes,Scolopacidae,Arenaria,interpres,0.6923076923076923
408,408,408,567,567,6130,52899,1968,2023,55,Barn Swallow,Hirondelle rustique,Passeriformes,Hirundinidae,Hirundo,rustica,0.6909090909090909
409,409,409,432,432,4860,31365,1968,2023,55,Common Raven,Grand Corbeau,Passeriformes,Corvidae,Corvus,corax,0.6909090909090909
410,410,410,442,442,4930,51033,1968,2023,55,European Starling,Étourneau sansonnet,Passeriformes,Sturnidae,Sturnus,vulgaris,0.6909090909090909
411,411,411,79,79,1320,24726,1972,2023,51,Mallard,Canard colvert,Anseriformes,Anatidae,Anas,platyrhynchos,0.6862745098039216
412,412,412,477,477,5195,34,2004,2023,19,unid. Purple Finch / Cassin's Finch / House Finch,unid Roselin pourpré / de Cassin / familier,Passeriformes,Fringillidae,Carpodacus,purpureus / cassinii / mexicanus,0.6842105263157895
413,413,413,613,613,6556,640,1982,2023,41,(unid. Myrtle / Audubon's) Yellow-rumped Warbler,Par. à croupion jaune (sous-espèce non identifié),Passeriformes,Parulidae,Setophaga,coronata,0.6829268292682927
414,414,414,279,279,3540,27,1997,2022,25,Gyrfalcon,Faucon gerfaut,Falconiformes,Falconidae,Falco,rusticolus,0.68
415,415,415,243,243,3160,62703,1967,2023,56,Mourning Dove,Tourterelle triste,Columbiformes,Columbidae,Zenaida,macroura,0.6785714285714286
421,416,416,316,316,3880,5169,1977,2023,46,Black-billed Cuckoo,Coulicou à bec noir,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,0.6739130434782609
418,419,419,603,603,6450,8628,1977,2023,46,Nashville Warbler,Paruline à joues grises,Passeriformes,Parulidae,Leiothlypis,ruficapilla,0.6739130434782609
419,422,422,593,593,6360,14199,1977,2023,46,Black-and-white Warbler,Paruline noir et blanc,Passeriformes,Parulidae,Mniotilta,varia,0.6739130434782609
422,420,420,84,84,1350,4985,1977,2023,46,Gadwall,Canard chipeau,Anseriformes,Anatidae,Mareca,strepera,0.6739130434782609
417,418,418,472,472,5140,3919,1977,2023,46,Evening Grosbeak,Gros-bec errant,Passeriformes,Fringillidae,Coccothraustes,vespertinus,0.6739130434782609
416,421,421,583,583,6290,9400,1977,2023,46,Blue-headed Vireo,Viréo à tête bleue,Passeriformes,Vireonidae,Vireo,solitarius,0.6739130434782609
420,417,417,625,625,6670,9418,1977,2023,46,Black-throated Green Warbler,Paruline à gorge noire,Passeriformes,Parulidae,Setophaga,virens,0.6739130434782609
429,425,425,579,579,6240,37623,1968,2023,55,Red-eyed Vireo,Viréo aux yeux rouges,Passeriformes,Vireonidae,Vireo,olivaceus,0.6727272727272727
427,423,423,435,435,4880,54303,1968,2023,55,American Crow,Corneille d'Amérique,Passeriformes,Corvidae,Corvus,brachyrhynchos,0.6727272727272727
424,427,427,716,716,7580,13033,1968,2023,55,Swainson's Thrush,Grive à dos olive,Passeriformes,Turdidae,Catharus,ustulatus,0.6727272727272727
428,426,426,498,498,5400,18836,1968,2023,55,Vesper Sparrow,Bruant vespéral,Passeriformes,Passerellidae,Pooecetes,gramineus,0.6727272727272727
423,429,429,380,380,4440,36079,1968,2023,55,Eastern Kingbird,Tyran tritri,Passeriformes,Tyrannidae,Tyrannus,tyrannus,0.6727272727272727
426,428,428,499,499,5420,22565,1968,2023,55,Savannah Sparrow,Bruant des prés,Passeriformes,Passerellidae,Passerculus,sandwichensis,0.6727272727272727
425,424,424,489,489,5290,39711,1968,2023,55,American Goldfinch,Chardonneret jaune,Passeriformes,Fringillidae,Spinus,tristis,0.6727272727272727
432,430,430,88,88,1400,5097,1972,2023,51,Blue-winged Teal,Sarcelle à ailes bleues,Anseriformes,Anatidae,Spatula,discors,0.6666666666666666
431,431,431,116,116,1720,21940,1972,2023,51,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Branta,canadensis,0.6666666666666666
430,432,432,6,6,50,37,1996,2023,27,Least Grebe,Grèbe minime,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,0.6666666666666666
433,433,433,134,134,1940,24952,1967,2023,56,Great Blue Heron,Grand Héron,Pelecaniformes,Ardeidae,Ardea,herodias,0.6607142857142857
434,434,434,648,648,6882,42503,1967,2023,56,House Sparrow,Moineau domestique,Passeriformes,Passeridae,Passer,domesticus,0.6607142857142857
435,435,435,301,301,3770,120,1982,2023,41,Northern Hawk Owl,Chouette épervière,Strigiformes,Strigidae,Surnia,ulula,0.6585365853658537
441,436,436,574,574,6190,27510,1968,2023,55,Cedar Waxwing,Jaseur d'Amérique,Passeriformes,Bombycillidae,Bombycilla,cedrorum,0.6545454545454545
437,437,437,454,454,5011,22574,1968,2023,55,Western Meadowlark,Sturnelle de l'Ouest,Passeriformes,Icteridae,Sturnella,neglecta,0.6545454545454545
438,438,438,568,568,6140,30671,1968,2023,55,Tree Swallow,Hirondelle bicolore,Passeriformes,Hirundinidae,Tachycineta,bicolor,0.6545454545454545
440,439,439,717,717,7590,17575,1968,2023,55,Hermit Thrush,Grive solitaire,Passeriformes,Turdidae,Catharus,guttatus,0.6545454545454545
439,440,440,534,534,5810,40599,1968,2023,55,Song Sparrow,Bruant chanteur,Passeriformes,Passerellidae,Melospiza,melodia,0.6545454545454545
436,441,441,641,641,6810,46575,1968,2023,55,Common Yellowthroat,Paruline masquée,Passeriformes,Parulidae,Geothlypis,trichas,0.6545454545454545
442,442,442,467,467,5100,17458,1968,2023,55,Brewer's Blackbird,Quiscale de Brewer,Passeriformes,Icteridae,Euphagus,cyanocephalus,0.6545454545454545
443,443,443,166,166,2300,15193,1968,2023,55,Wilson's Snipe,Bécassine de Wilson,Charadriiformes,Scolopacidae,Gallinago,delicata,0.6545454545454545
447,445,445,481,481,5225,27,1997,2023,26,unid. Red Crossbill / White-winged Crossbill,unid Bec-croisé des sapins / Bec-croisé bifascié,Passeriformes,Fringillidae,Loxia,curvirostra / leucoptera,0.6538461538461539
444,447,447,172,172,2356,19,1997,2023,26,Rock Sandpiper,Bécasseau des Aléoutiennes,Charadriiformes,Scolopacidae,Calidris,ptilocnemis,0.6538461538461539
446,446,446,362,362,4270,22,1997,2023,26,Blue-throated Mountain-gem,Colibri à gorge bleue,Apodiformes,Trochilidae,Lampornis,clemenciae,0.6538461538461539
445,444,444,673,673,7220,20,1997,2023,26,unid. Pacific Wren / Winter Wren,unid Troglodyte des forêts / Troglodyte de Baird,Passeriformes,Troglodytidae,Troglodytes,pacificus / hiemalis,0.6538461538461539
453,448,448,632,632,6720,939,1977,2023,46,Palm Warbler,Paruline à couronne rousse,Passeriformes,Parulidae,Setophaga,palmarum,0.6521739130434783
449,449,449,698,698,7400,2501,1977,2023,46,Boreal Chickadee,Mésange à tête brune,Passeriformes,Paridae,Poecile,hudsonicus,0.6521739130434783
452,451,451,331,331,4020,9785,1977,2023,46,Yellow-bellied Sapsucker,Pic maculé,Piciformes,Picidae,Sphyrapicus,varius,0.6521739130434783
450,452,452,620,620,6620,5933,1977,2023,46,Blackburnian Warbler,Paruline à gorge orangée,Passeriformes,Parulidae,Setophaga,fusca,0.6521739130434783
451,450,450,402,402,4630,2519,1977,2023,46,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Passeriformes,Tyrannidae,Empidonax,flaviventris,0.6521739130434783
448,453,453,618,618,6600,1282,1977,2023,46,Bay-breasted Warbler,Paruline à poitrine baie,Passeriformes,Parulidae,Setophaga,castanea,0.6521739130434783
455,454,454,298,298,3740,13,1999,2019,20,Flammulated Owl,Petit-duc nain,Strigiformes,Strigidae,Psiloscops,flammeolus,0.65
454,455,455,178,178,2429,35,2003,2023,20,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Charadriiformes,Scolopacidae,Calidris,sp.,0.65
456,456,456,509,509,5540,6940,1972,2023,51,White-crowned Sparrow,Bruant à couronne blanche,Passeriformes,Passerellidae,Zonotrichia,leucophrys,0.6470588235294118
457,457,457,239,239,3131,26570,1967,2023,56,Rock Pigeon,Pigeon biset,Columbiformes,Columbidae,Columba,livia,0.6428571428571429
458,458,458,420,420,4740,25106,1967,2023,56,Horned Lark,Alouette hausse-col,Passeriformes,Alaudidae,Eremophila,alpestris,0.6428571428571429
463,459,459,264,264,3370,36843,1968,2023,55,Red-tailed Hawk,Buse à queue rousse,Accipitriformes,Accipitridae,Buteo,jamaicensis,0.6363636363636364
461,467,467,343,343,4120,29953,1968,2023,55,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Piciformes,Picidae,Colaptes,auratus auratus,0.6363636363636364
467,464,464,408,408,4661,13206,1968,2023,55,Alder Flycatcher,Moucherolle des aulnes,Passeriformes,Tyrannidae,Empidonax,alnorum,0.6363636363636364
462,462,462,672,672,7210,33909,1968,2023,55,House Wren,Troglodyte familier,Passeriformes,Troglodytidae,Troglodytes,aedon,0.6363636363636364
459,463,463,690,690,7350,25872,1968,2023,55,Black-capped Chickadee,Mésange à tête noire,Passeriformes,Paridae,Poecile,atricapillus,0.6363636363636364
466,465,465,610,610,6520,35413,1968,2023,55,Yellow Warbler,Paruline jaune,Passeriformes,Parulidae,Setophaga,petechia,0.6363636363636364
460,461,461,604,604,6460,9238,1968,2023,55,Orange-crowned Warbler,Paruline verdâtre,Passeriformes,Parulidae,Leiothlypis,celata,0.6363636363636364
465,460,460,513,513,5600,47967,1968,2023,55,Chipping Sparrow,Bruant familier,Passeriformes,Passerellidae,Spizella,passerina,0.6363636363636364
464,466,466,468,468,5110,42560,1968,2023,55,Common Grackle,Quiscale bronzé,Passeriformes,Icteridae,Quiscalus,quiscula,0.6363636363636364
469,468,468,638,638,6780,827,1977,2023,46,Connecticut Warbler,Paruline à gorge grise,Passeriformes,Parulidae,Oporornis,agilis,0.6304347826086957
468,469,469,99,99,1510,1193,1977,2023,46,Common Goldeneye,Garrot à oeil d'or,Anseriformes,Anatidae,Bucephala,clangula,0.6304347826086957
470,470,470,504,504,5490,22,1996,2023,27,Saltmarsh Sparrow,Bruant à queue aiguë,Passeriformes,Passerellidae,Ammospiza,caudacuta,0.6296296296296297
471,471,471,492,492,5330,9778,1972,2023,51,Pine Siskin,Tarin des pins,Passeriformes,Fringillidae,Spinus,pinus,0.6274509803921569
472,472,472,283,283,3590,6,2004,2012,8,Aplomado Falcon,Faucon aplomado,Falconiformes,Falconidae,Falco,femoralis,0.625
473,473,473,384,384,4460,20,1999,2023,24,Tropical Kingbird,Tyran mélancolique,Passeriformes,Tyrannidae,Tyrannus,melancholicus,0.625
474,474,474,209,209,2840,15,1997,2018,21,Black Turnstone,Tournepierre noir,Charadriiformes,Scolopacidae,Arenaria,melanocephala,0.6190476190476191
485,476,476,194,194,2630,7370,1968,2023,55,Spotted Sandpiper,Chevalier grivelé,Charadriiformes,Scolopacidae,Actitis,macularius,0.6181818181818182
484,475,475,323,323,3940,34105,1968,2023,55,Downy Woodpecker,Pic mineur,Piciformes,Picidae,Dryobates,pubescens,0.6181818181818182
481,478,478,318,318,3900,11454,1968,2023,55,Belted Kingfisher,Martin-pêcheur d'Amérique,Coraciiformes,Alcedinidae,Megaceryle,alcyon,0.6181818181818182
482,479,479,564,564,6120,25461,1968,2023,55,Cliff Swallow,Hirondelle à front blanc,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,0.6181818181818182
483,480,480,410,410,4670,14906,1968,2023,55,Least Flycatcher,Moucherolle tchébec,Passeriformes,Tyrannidae,Empidonax,minimus,0.6181818181818182
477,481,481,514,514,5610,7647,1968,2023,55,Clay-colored Sparrow,Bruant des plaines,Passeriformes,Passerellidae,Spizella,pallida,0.6181818181818182
478,482,482,713,713,7560,13617,1968,2023,55,Veery,Grive fauve,Passeriformes,Turdidae,Catharus,fuscescens,0.6181818181818182
479,483,483,519,519,5670,8813,1968,2023,55,(Slate-colored Junco) Dark-eyed Junco,Junco ardoisé (groupe hyemalis),Passeriformes,Passerellidae,Junco,hyemalis hyemalis,0.6181818181818182
480,477,477,398,398,4590,8282,1968,2023,55,Olive-sided Flycatcher,Moucherolle à côtés olive,Passeriformes,Tyrannidae,Contopus,cooperi,0.6181818181818182
475,485,485,423,423,4770,41627,1968,2023,55,Blue Jay,Geai bleu,Passeriformes,Corvidae,Cyanocitta,cristata,0.6181818181818182
476,484,484,421,421,4750,12616,1968,2023,55,Black-billed Magpie,Pie d'Amérique,Passeriformes,Corvidae,Pica,hudsonia,0.6181818181818182
486,486,486,188,188,2555,26,1997,2023,26,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes,0.6153846153846154
487,487,487,33,33,480,8,2005,2018,13,Slaty-backed Gull,Goéland à manteau ardoisé,Charadriiformes,Laridae,Larus,schistisagus,0.6153846153846154
488,488,488,271,271,3440,12,2003,2021,18,Short-tailed Hawk,Buse à queue courte,Accipitriformes,Accipitridae,Buteo,brachyurus,0.6111111111111112
489,489,489,260,260,3330,5190,1977,2023,46,Cooper's Hawk,Épervier de Cooper,Accipitriformes,Accipitridae,Accipiter,cooperii,0.6086956521739131
490,490,490,45,45,600,456,1977,2023,46,Bonaparte's Gull,Mouette de Bonaparte,Charadriiformes,Laridae,Chroicocephalus,philadelphia,0.6086956521739131
491,491,491,73,73,1250,2486,1977,2023,46,American White Pelican,Pélican d'Amérique,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,0.6086956521739131
492,492,492,251,251,3255,27,2000,2023,23,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Cathartiformes,Cathartidae,Coragyps / Cathartes,atratus / aura,0.6086956521739131
493,493,493,640,640,6800,7381,1972,2023,51,MacGillivray's Warbler,Paruline des buissons,Passeriformes,Parulidae,Geothlypis,tolmiei,0.6078431372549019
494,494,494,614,614,6560,8821,1972,2023,51,(Audubon's Warbler) Yellow-rumped Warbler,Paruline à croupion jaune (groupe auduboni),Passeriformes,Parulidae,Setophaga,coronata audoboni,0.6078431372549019
499,497,497,644,644,6850,7868,1972,2023,51,Wilson's Warbler,Paruline à calotte noire,Passeriformes,Parulidae,Cardellina,pusilla,0.6078431372549019
496,496,496,369,369,4330,2860,1972,2023,51,Rufous Hummingbird,Colibri roux,Apodiformes,Trochilidae,Selasphorus,rufus,0.6078431372549019
495,499,499,705,705,7480,8725,1972,2023,51,Golden-crowned Kinglet,Roitelet à couronne dorée,Passeriformes,Regulidae,Regulus,satrapa,0.6078431372549019
498,498,498,720,720,7630,4528,1972,2023,51,Varied Thrush,Grive à collier,Passeriformes,Turdidae,Ixoreus,naevius,0.6078431372549019
497,495,495,674,674,7221,4125,1972,2023,51,Pacific Wren,Troglodyte de Baird,Passeriformes,Troglodytidae,Troglodytes,pacificus,0.6078431372549019
500,500,500,353,353,4200,16014,1967,2023,56,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,0.6071428571428571
501,501,501,581,581,6270,29114,1968,2023,55,Warbling Vireo,Viréo mélodieux,Passeriformes,Vireonidae,Vireo,gilvus,0.6
510,503,503,612,612,6550,10073,1968,2023,55,(Myrtle Warbler) Yellow-rumped Warbler,Paruline à croupion jaune (groupe coronata),Passeriformes,Parulidae,Setophaga,coronata coronata,0.6
502,510,510,391,391,4520,31958,1968,2023,55,Great Crested Flycatcher,Tyran huppé,Passeriformes,Tyrannidae,Myiarchus,crinitus,0.6
509,504,504,660,660,7050,30171,1968,2023,55,Brown Thrasher,Moqueur roux,Passeriformes,Mimidae,Toxostoma,rufum,0.6
508,505,505,634,634,6740,21995,1968,2023,55,Ovenbird,Paruline couronnée,Passeriformes,Parulidae,Seiurus,aurocapilla,0.6
507,506,506,646,646,6870,18219,1968,2023,55,American Redstart,Paruline flamboyante,Passeriformes,Parulidae,Setophaga,ruticilla,0.6
506,507,507,659,659,7040,31057,1968,2023,55,Gray Catbird,Moqueur chat,Passeriformes,Mimidae,Dumetella,carolinensis,0.6
505,508,508,444,444,4940,13531,1968,2023,55,Bobolink,Goglu des prés,Passeriformes,Icteridae,Dolichonyx,oryzivorus,0.6
504,509,509,462,462,5070,21504,1968,2023,55,Baltimore Oriole,Oriole de Baltimore,Passeriformes,Icteridae,Icterus,galbula,0.6
503,502,502,171,171,2340,3,2017,2022,5,Red Knot,Bécasseau maubèche,Charadriiformes,Scolopacidae,Calidris,canutus,0.6
511,511,511,395,395,4560,29500,1968,2023,55,Eastern Phoebe,Moucherolle phébi,Passeriformes,Tyrannidae,Sayornis,phoebe,0.6
512,512,512,549,549,5950,16151,1968,2023,55,Rose-breasted Grosbeak,Cardinal à poitrine rose,Passeriformes,Cardinalidae,Pheucticus,ludovicianus,0.6
513,513,513,476,476,5190,31795,1968,2023,55,House Finch,Roselin familier,Passeriformes,Fringillidae,Haemorhous,mexicanus,0.6
514,514,514,569,569,6150,9685,1968,2023,55,Violet-green Swallow,Hirondelle à face blanche,Passeriformes,Hirundinidae,Tachycineta,thalassina,0.6
515,515,515,485,485,5261,3,2018,2023,5,European Goldfinch,Chardonneret élégant,Passeriformes,Fringillidae,Carduelis,carduelis,0.6
516,516,516,401,401,4620,13837,1968,2023,55,Western Wood-Pewee,Pioui de l'Ouest,Passeriformes,Tyrannidae,Contopus,sordidulus,0.6
517,517,517,501,501,5460,14505,1968,2023,55,Grasshopper Sparrow,Bruant sauterelle,Passeriformes,Passerellidae,Ammodramus,savannarum,0.6
519,518,518,511,511,5580,9657,1968,2023,55,White-throated Sparrow,Bruant à gorge blanche,Passeriformes,Passerellidae,Zonotrichia,albicollis,0.6
518,519,519,706,706,7490,11025,1968,2023,55,Ruby-crowned Kinglet,Roitelet à couronne rubis,Passeriformes,Regulidae,Corthylio,calendula,0.6
520,520,520,286,286,3640,6035,1969,2023,54,Osprey,Balbuzard pêcheur,Accipitriformes,Pandionidae,Pandion,haliaetus,0.5925925925925926
521,521,521,453,453,5010,27873,1967,2023,56,Eastern Meadowlark,Sturnelle des prés,Passeriformes,Icteridae,Sturnella,magna,0.5892857142857143
523,524,524,190,190,2580,3811,1967,2023,56,Willet,Chevalier semipalmé,Charadriiformes,Scolopacidae,Tringa,semipalmata,0.5892857142857143
524,522,522,546,546,5930,36951,1967,2023,56,Northern Cardinal,Cardinal rouge,Passeriformes,Cardinalidae,Cardinalis,cardinalis,0.5892857142857143
522,523,523,250,250,3250,33749,1967,2023,56,Turkey Vulture,Urubu à tête rouge,Cathartiformes,Cathartidae,Cathartes,aura,0.5892857142857143
525,525,525,31,31,440,795,1972,2023,51,Glaucous-winged Gull,Goéland à ailes grises,Charadriiformes,Laridae,Larus,glaucescens,0.5882352941176471
527,526,526,153,153,2120,699,1977,2023,46,Virginia Rail,Râle de Virginie,Gruiformes,Rallidae,Rallus,limicola,0.5869565217391305
526,527,527,261,261,3333,151,1977,2023,46,unid. Accipiter hawk,unid épervier sp.,Accipitriformes,Accipitridae,Accipiter,sp.,0.5869565217391305
533,532,532,550,550,5960,10483,1968,2023,55,Black-headed Grosbeak,Cardinal à tête noire,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,0.5818181818181818
530,531,531,699,699,7410,3184,1968,2023,55,Chestnut-backed Chickadee,Mésange à dos marron,Passeriformes,Paridae,Poecile,rufescens,0.5818181818181818
531,528,528,404,404,4641,4012,1968,2023,55,(Pacific-slope Flycatcher) Western Flycatcher,Moucherolle obscur (groupe difficilis),Passeriformes,Tyrannidae,Empidonax,difficilis difficilis,0.5818181818181818
528,533,533,712,712,7550,25226,1968,2023,55,Wood Thrush,Grive des bois,Passeriformes,Turdidae,Hylocichla,mustelina,0.5818181818181818
529,530,530,58,58,770,2318,1968,2023,55,Black Tern,Guifette noire,Charadriiformes,Laridae,Chlidonias,niger,0.5818181818181818
532,529,529,520,520,5671,7601,1968,2023,55,(Oregon Junco) Dark-eyed Junco,Junco ardoisé (groupe oreganus),Passeriformes,Passerellidae,Junco,hyemalis oreganus,0.5818181818181818
542,535,535,284,284,3600,20770,1968,2023,55,American Kestrel,Crécerelle d'Amérique,Falconiformes,Falconidae,Falco,sparverius,0.5818181818181818
534,542,542,615,615,6570,7067,1968,2023,55,Magnolia Warbler,Paruline à tête cendrée,Passeriformes,Parulidae,Setophaga,magnolia,0.5818181818181818
541,536,536,552,552,5980,33532,1968,2023,55,Indigo Bunting,Passerin indigo,Passeriformes,Cardinalidae,Passerina,cyanea,0.5818181818181818
540,537,537,346,346,4130,13793,1968,2023,55,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Piciformes,Picidae,Colaptes,auratus cafer,0.5818181818181818
