,ruta,num_continuous_species,min_year,max_year,num_survey_years,Latitude,Longitude
307,84063205,47,1997,2023,26,34.4014777,-78.0548779
308,8407288,47,1997,2023,26,39.9302972,-80.0595075
309,8409016,47,1997,2023,26,38.7133034,-81.0222682
346,8402750,46,1997,2023,26,34.4761164,-86.4676524
347,8402750,46,1997,2023,26,32.1747043,-82.9529801
348,8403423,46,1997,2023,26,64.4609377,-155.523896
349,8403423,46,1997,2023,26,40.9170762,-90.0331516
350,8403460,46,1997,2023,26,37.9708433,-89.7475091
351,8407250,46,1997,2023,26,40.8479343,-79.5569899
352,8407254,46,1997,2023,26,40.6673234,-79.2349941
353,8407256,46,1997,2023,26,40.8006168,-79.3662002
354,840726,46,1997,2023,26,36.0989147,-91.7354059
355,840726,46,1997,2023,26,41.5335247,-79.3470999
356,8409149,46,1997,2023,26,44.5887327,-87.6425339
404,1245621,45,1997,2023,26,46.40997,-66.9302
405,124761,45,1997,2023,26,45.55411,-76.11098
406,840254,45,1997,2023,26,31.2223969,-86.0994295
407,840254,45,1997,2023,26,30.5288404,-85.1334541
408,8403816,45,1997,2023,26,60.3856237,-149.68837
409,8403816,45,1997,2023,26,38.9939527,-96.9002609
410,8404615,45,1997,2023,26,39.6359624,-76.9692792
411,8404631,45,1997,2023,26,38.5960742,-77.0558732
412,8404655,45,1997,2023,26,39.6919359,-78.4102428
413,8404714,45,1997,2023,26,42.2697823,-72.3589728
414,8405921,45,1997,2023,26,41.3073947,-74.6772749
415,8406147,45,1997,2023,26,42.904651,-77.118887
416,840826,45,1997,2023,26,35.3612207,-89.0787139
417,8409048,45,1997,2023,26,39.1823897,-78.5094379
466,124455,44,1997,2023,26,55.1415,-119.21774
467,124455,44,1997,2023,26,49.38436,-98.02424
468,840272,44,1997,2023,26,34.9292307,-86.9887629
469,840272,44,1997,2023,26,30.7054907,-82.0685039
470,8404636,44,1997,2023,26,39.2640947,-76.1481269
471,84049131,44,1997,2023,26,43.7069417,-85.4353239
472,8404938,44,1997,2023,26,43.5961937,-85.1256579
473,8405814,44,1997,2023,26,43.0768236,-72.2121162
474,840589,44,1997,2023,26,43.3742607,-71.6070436
475,8407233,44,1997,2023,26,41.9588688,-76.0658601
476,8407253,44,1997,2023,26,40.9651065,-79.7089598
477,840729,44,1997,2023,26,36.4053037,-94.1100149
478,840729,44,1997,2023,26,41.2987587,-79.0916519
479,84088914,44,1997,2023,26,37.7338847,-76.7997409
480,8409037,44,1997,2023,26,39.9139422,-80.7304852
481,8409169,44,1997,2023,26,42.6113857,-88.0517639
543,12445121,43,1997,2023,26,50.46177,-101.22319
544,84021,43,1997,2023,26,34.868688,-87.6041417
545,8402710,43,1997,2023,26,31.7456477,-84.7198949
546,8402727,43,1997,2023,26,34.0545254,-84.7868559
547,8404629,43,1997,2023,26,38.5217447,-76.8406989
548,8407249,43,1997,2023,26,40.6243617,-79.2376019
549,8408828,43,1997,2023,26,37.2171627,-77.6223439
626,8404614,42,1997,2023,26,39.6423121,-77.0236228
627,8405214,42,1997,2023,26,37.4542087,-93.513291
628,840588,42,1997,2023,26,43.2499219,-71.1982777
629,8406165,42,1997,2023,26,43.2572547,-79.0022969
630,84072155,42,1997,2023,26,40.1983067,-79.2656249
631,8407225,42,1997,2023,26,41.0712247,-77.2939995
632,8408936,42,1997,2023,26,47.5534987,-120.6802069
633,84090140,42,1997,2023,26,39.1928067,-80.0991062
634,8409117,42,1997,2023,26,45.1410957,-90.7920749
635,8409129,42,1997,2023,26,45.4469757,-87.8743129
636,8409168,42,1997,2023,26,42.9178507,-88.7095809
727,12445102,41,1997,2023,26,49.56482,-96.88941
728,84014186,41,1997,2023,26,38.5498734,-122.719303
729,8403514,41,1997,2023,26,40.1495187,-86.6959256
730,8405047,41,1997,2023,26,48.9594807,-94.9927589
731,840522,41,1997,2023,26,36.5936897,-90.7479869
732,840532,41,1997,2023,26,48.1080187,-114.4619289
733,840584,41,1997,2023,26,43.2321417,-70.9134599
734,8407261,41,1997,2023,26,40.428119,-78.203532
821,840257,40,1997,2023,26,34.4236313,-87.3907904
